أنتوني هوبكنز
آلبرخت دورر
أورانك زيب عالمكير
أنطون تشيخوف
أرنولف من كارينثيا
ألكسندر كيرينسكي
آدم البريمني
أندريه العملاق
عباس حلمي الثاني
عبد الرحمن الداخل
عبد الرحمن الناصر لدين الله
عبد العزيز الأول
عبد الحميد الأول
عبد الرحمن خان
أندرس سلزيوس
أندريه ساخاروف
أون سان سو تشي
عمرو دياب
أرئيل شارون
أليكسي باجيتنوف
عبد البهاء عباس
أكيرا تورياما
أندرو تانينباوم
آدولف ساكس
آل كابوني
أثناسيوس (بابا الإسكندرية)
أنطونيوس الكبير
بيل كلينتون
بريتني سبيرز
غوتاما بودا
باروخ سبينوزا
بيارن ستروستروب
بيل غيتس
بريجيت باردو
برنارد مونتغمري
بينجامين دزرائيلي
بنجامين فرانكلين
برام ستوكر
بونوا ماندلبرو
ريتشارد بوكمينستر فولر
بليز باسكال
بيرتراند راسل
براين دي بالما
بوبي تشارلتون
برث موريسو
بايزيد الأول
بايزيد الثاني
بنيامين
بيلي بوب ثورنتون
بياتريكس بوتر
بوديكا
بيلا بارتوك
برت لانكستر
ظهير الدين بابر
برنارد من كليرفو
اللحية السوداء
بيورن بورغ
برنابا
برهان الدين رباني
بيلي كريستال
بوريس باسترناك
بيلا لوغوسي
بل برياسون
تشارليز ثيرون
تشارلي تشابلن
كارولوس لينيوس
شارلمان
كريستوفر كولومبوس
كاسبر ديفيد فريدريك
كورتني لوف
كلود شانون
تشارلز بابيج
كليمنت أتلي
كريستوفر مارلو
كارلو جولدوني
شارل بودلير
سي. إس. لويس
كونفوشيوس
تشارلز ديكنز
شيشرون
كارل فون كلاوزفيتز
كارل فريدريش غاوس
كلوديوس
تشاك يياغر
كالفين كوليدج
كلاوديو مونتيفيردي
كلود ديبوسي
كريستيان غولدباخ
قارلة
تشارلوت برونتي
تشيسلاف ميلوش
كلود مونيه
كولومبا
كونستانتين برانكوشي
قنسطانطيوس الثاني
قنسطنس
كارل ساغان
كاليغولا
شيانج كاي شيك
كارلوس فالديراما
كاثرين أراغون
كولن باول
تشيمابو
كريستيان برنارد
كارافاجيو
كريستيان دوبلر
وليام كيد
قسطنطين الثاني (إمبراطور)
قسطنطين الأول
شارل مسييه
إكليمندس الإسكندري
كارل باركس
كازيمير الثالث الأعظم
كيرلس الأول (بابا الإسكندرية)
تشارلز الأول ملك إنجلترا
كارلو كولودي
تشيزري بورجا
كريغ فينتر
كارل روجرز
كليف باركر
كولين ماكلورين
درو باريمور
ديفيد لينش
ديفد كروننبرغ
ديفيد هيوم
ديفيد فينشر
دوجلاس إنجيلبارت
دكتور دري
دوغلاس آدمز
دونالد كانوث
دينو زوف
دانتي أليغييري
دوايت أيزنهاور
دانييل ديفو
دنيس ديدرو
دينج شياو بينج
ديموقريطوس
دينيس ريتشي
دوريس داي
ديفيد هيلبرت
ديفيد ليترمان
دييغو دي ألماغرو
دراكو (مشّرع إغريقي)
دافيد ريكاردو
آرثر ويلزلي
دييغو مارادونا
ديفيد بروستر
دميتري شوستاكوفيتش
داود
ديوكلتيانوس
دوميتيان
ديفيد بيكام
دونالد رامسفيلد
دانيال غابرييل فهرنهايت
دانيال دينيت (فيلسوف)
دانييل أورتيغا
ديفيد بوي
دينيس هوبر
دي. بي. كوبر
دين كونتز
دون روزا
دريك والكوت
جاك لوي دافيد
ديوفانتوس السكندري
إلفيس بريسلي
إراسموس داروين
أقليدس
إرنست همينغوي
إريك ريموند
إنيا
إلياس كانيتي
إدوارد جينر
إرفين رومل
إدموند هوسرل
إدموند سبنسر
إدغار آلان بو
إيمبيدوكليس
إرنست رذرفورد
إدوار مانيه
إليزابيث باريت براونينغ
إدغار رايس بوروس
إرنست هيكل
إيما جولدمان
إدفارت مونك
يوربيديس
إيميلي برونتي
إيفاريست جالوا
عزرا
إيليا
إرفين شرودنغر
إليزابيث لويز فيغ لوبرون
إليانور آكيتيان
إميل كريبلن
ادسخر دیكسترا
إدموند بيرك
إريك كلابتون
إبيقور
إل سيد
إثلرد الثاني
يوجين ويغنر
إليزابيث الأولى ملكة إنكلترا
الإمبراطور جينمو
إرنست كالتينبرونر
ارنست هوفمان
دسيدريوس إراسموس
يوسابيوس القيصري
إدوارد السادس
إنريكو فيرمي
إنيو موريكوني
أنور خوجة
هيروهيتو
لويس مونتباتن
إلبردج جيري
إدوارد جيبون
إدوارد أوسبورن ويلسون
أوليا جلبي
أفرام السرياني
ابكتيتوس
إدوارد لير
الإمبراطور سويزي
الإمبراطور أنيي
تيودور كوخر
إيلاي والاك
إدوين هابل
إيلي فيزيل
إد وود
فرانسيس فورد كوبولا
فريدرخ نيتشه
فرانك زابا
فرانك لويد رايت
فريدرش فولر
فريدريك شوبان
فرانكو باريزي
فرانتس كافكا
فرانثيسكو غويا
فليكس بلوخ
فرنسيس كسفاريوس
فرانكلين روزفلت
فيليكس هاوسدورف
فريد هويل
هونوريوس
فريدريك دوغلاس
فرديناند دو سوسور
فرانشيسكو بوروميني
فرانك سيناترا
فرانسيس فوكوياما
فردريك باستيا
فرانس إيميل سيلانبا
فرانسيس بيكون
فرانك كابرا
فابيوس ماكسيموس
فريمان دايسون
فريدرش فيلهلم، ناخب براندنبورغ
فرا أنجيليكو
فرنسيس كريك
فرانثيسكو فرانكو
أوغست كيكولة
فريدريك الثالث
فريديريك ويليم دي كليرك
فرنسيس دريك
فرانسيس الثاني
فريدريش بيسل
فيودور دوستويفسكي
فريتز لانغ
فرنسيس الأسيزي
فريدريش فون هايك
فرانز بواس
فردريك سودي
فيديريكو فليني
فريدرش فيلهلم الأول ملك بروسيا
فيليبو توماسو مارينيتي
فرانشيسكو كوسيغا
فريتيوف نانسين
جورج لوكاس
جورج أورويل
جورج بوش الأب
جورج بيركلي
جورج واشنطن
جوهان جوتليب فيخته
غولييلمو ماركوني
جورج كانتور
غوستاف إيفل
جورج ويبل
غي دو موباسان
جورجي هاجي
غوردون بانكس
غوتفريد لايبنتز
إفرايم ليسينغ
جوستاف فلوبير
جورج براك
جالينوس
غوستاف روبرت كيرشهوف
جواكينو روسيني
غوستاف كليمت
جورجيوس أغريكولا
جرمانيكوس
جروفر كليفلاند
جيوف هورست
جلوريا جاينور
جيل دولوز
جين هاكمان
غريغور يوهان مندل
جورج ستيفنسون
غاري لينيكر
غيورغ فيلهلم فريدريش هيغل
جان لورينزو برنيني
غيريت ريتفيلد
غوستاف الثاني أدولف
جاي فوكس
جورج هاريسون
جاكومو بوتشيني
جورج فريدريك هاندل
باليسترينا
جيفري تشوسر
غريغوري راسبوتين
غاري كاسباروف
جورج برنارد شو
جورج فانكوفر
جورج هاملتون غوردون
جيوفاني بوكاتشيو
جوزيبي فيردي
جوردانو برونو
جورج واشنطن كارفر
غافريلو برينسيب
جوزويه كاردوتشي
جيوسيبي بيانو
جورج إليوت
غيورغ فيليب تيليمان
جورج غيرشوين
جوردون براون
غراتسيا ديليدا
غلين سيبورغ
غاسبارد-غوستاف كوريوليس
جيرولامو كاردانو
جلجامش
غرو هارلم برونتلاند
هنري فورد
هنريك سينكيفيتش
هاينريش هيملر
هاينريش هيرتس
هوراس ولپول
هربرت جورج ويلز
أبقراط
هيرمان غورينغ
هوارد فيليبس لافكرافت
هنري برجسون
هنري فيلدنغ
هانس كريستيان أندرسن
هيرودوت
هرمان هيسه
أبرخش
هولدريخ زوينكلي
هوارد كارتر
هادريان
هرمان ملفيل
هاينريش شليمان
هوميروس
هانز ديتريش غينشر
هربرت هوفر
هوراس
هسيود
هالي بيري
روبرت كوخ
هنري كسنجر
هربرت ماركوزه
هرقليطس
هاريسون شميت
هالدور لاكسنس
هرقل
هنري فاولر
حنبعل
هيرمان هولليريث
هانز جورج جادامير
إرنان كورتيس
همفري بوغارت
همايون
هوارد هيوز
هنري البحار
هنري برسل
هنري الأول ملك إنجلترا
هنري السابع ملك إنجلترا
هنري الثامن ملك إنجلترا
هيربرت سيمون
ايل جبل
هنريك إبسن
هيلين كيلر
هيو هيفنر
هيرجيه
هانك آرون (لاعب بيسبول)
حمورابي
همفري ديفي
هارولد ألكسندر
هنري موزلي
هنري تشارلز ألبرت ديفيد
هارولد كروتو
إسحاق أسيموف
عصمت إينونو
إنغمار برغمان
إسحاق نيوتن
إيمانويل كانت
آيس-تي
إيتالو كالفينو
إمحوتب
إكتينوس
أشعياء
آي إم بي
أنديرا غاندي
إسحاق
إسحق ألبينيز
ابن بطوطة
إيان ماكيلين
إرفينغ لانغموير
إيسوروكو ياماموتو
إغناطيوس
إساك سنجر
جون ري
جيمس جويس
جوناثان سويفت
جيمس كاميرون
جون ستيوارت ميل
جيمس كوك
جوزيف ستالين
جون كوينسي آدامز
يوهانس كيبلر
جون باردين
يوهان غوتنبرغ
جيمس براون
جول فيرن
يوهانس راو
جوزيف غوبلز
خورخي لويس بورخيس
جاين أوستن
جاك ليمون
جوزيف كونراد
جون أبدايك
جون ستاينبيك
جوزيف شومبيتر
جون لي هوكر
جان كوكتو
جون دون
جون لينون
جون كليز
ج. ر. ر. تولكين
جون ميجور
جون ماكدونالد
جون ويلكس بوث
دان كويل
يوليوس قيصر
جيمس غراهام بالارد
جان كالفن
جوديت بولغار
جان جاك روسو
جون فون نيومان
جيمس ماديسون
جيري لويس
جيمس مونرو
جيمس بوك
جيمي كارتر
جون نابير
جيروم
يوستوس فون ليبيغ
ج. ك. رولينج
يان هوس
إدغار هوفر
جيمس كاغني
جوناثان ديم
خوان غريس
جوزيف هايدن
جيمي هندريكس
يوهان إليرت بودي
جون وين
جيمس سبيدر
يوشع بن نون
يربعام
يوحنا المعمدان
جيفيرسون ديفيس
جيمس واط
جون لوك
جون مكليود
جينيفر لوبيز
جون ديوي
جستينيان الأول
جون ميلتون
جيفري دامر
يونس
جيم هانسون
يوردانس
جواهر لال نهرو
جانيس جوبلين
جاك إيف كوستو
جيمس ستيوارت
جاك روبي
جيمس راندي
يورغن هابرماس
جيمس واتسون
جهانكير
يوليان المرتد
جاكسون بولوك
جت لي
جوزيف كامبل
جون جيمس أودوبون
جوزيف مكارثي
يوحنا فم الذهب
جيمس هيكمان
يوهانس برامس
جان بول سارتر
جيمس توبن
جون بيلوشي
جوزيف غرينبيرغ
جون إيكلس
جلال الدين الرومي
جوليا تشايلد
جيروم ك.جيروم
جون كيتس
يافث
جون ويكليف
جوليا كريستيفا
يوسيفوس فلافيوس
جون بوبل
جاي لينو
جان دارك
جون فويت
جوزف ليستر
يواخيم فون ريبنتروب
جون ملك إنجلترا
جوليا روبرتس
يوحنا الإنجيلي
جوني فايسمولر
جوزيف بروز تيتو
خافيير سافيولا
كيانو ريفز
كارل بوبر
كونراد أديناور
كيرت كوباين
كيرك هاميت
كورت غودل
كارل ماركس
كايل ماكلاشلان
كيفين سبيسي
كارل دونيتس
كونراد سوزه
كيفين بيكن
كوفي أنان
كورت فونيجت
كايلي مينوغ
كريم عبد الجبار
كارل بنز
كيني دالغليش
كيم فيلبي
كوامي نكروما
كونراد لورنتس
قسطنطين تسيولكوفسكي
كاري موليس
كورت فالدهايم
قسطنطين تشيرنينكو
كليمنت فوروشيلوف
كارل فرديناند براون
كازيمير ماليفيتش
كارل إرنست فون باير
قسطنطين ستانيسلافسكي
كلاوس باربي
كينيث كاوندا
كونراد بلوخ
كرستن دانست
كنوت همسون
كورت غورغ كيزنغر
لاري وول
لورا بوش
ليني ريفنستال
لينوس تورفالدس
لي هارفي أوزوالد
لوي باستير
لودفيش فيتغنشتاين
رون هوبارد
ليون تروتسكي
لودفيغ ميس فان دير روه
لو كوربوزييه
لودوفيكو أريوستو
ليونهارد أويلر
لودفيج فان بيتهوفن
ليتون هيووت
لارس فون ترايير
ليوكيبوس
ليوناردو فيبوناتشي
لويس ليكي
ليون ليدرمان
لويس الورع
لويزا ماي ألكوت
ليو الثالث الإيساوري
لويس أغاسيز
لي باي
ليون باتيستا ألبيرتي
تاركوينيوس بريسكوس
تاركوينيوس سوبربوس
تيتوس ليفيوس
ليونارد بلومفيلد
ليزه مايتنر
ليوناردو دا فينشي
لافار كورنيلوف
لودفيك زامنهوف
ليمان فرانك بوم
لويس أرمسترونغ
جون وليم ريليه
لافرينتي بيريا
ليوبولد فون زاخر مازوخ
لي مارفين
لوكا باتشولي
لوكريشا
لويس التاسع
لويس الرابع عشر ملك فرنسا
لورينزو دي ميديشي
لوكريسيا بورجيا
لي فان كليف
لويجي بيرانديلو
لوقا
ماري بيكفورد
مات غرينينغ
محمد
مارتن سكورسيزي
محمد الفاتح
مارتينا هينجيز
مارلين مونرو
ماركو بولو
موريس ميرلو بونتي
مهاتما غاندي
مياموتو موساشي
ميغيل دي ثربانتس
موسى بن ميمون
ماكس فيبر
ماكس هوركهايمر
ماريا كاري
ماو تسي تونغ
ميخائيل كلاشنكوف
مارشال ماكلوهان
مايكل مان
موسى
مارفن مينسكي
ميلتون فريدمان
مارك بلوك
مايكل فاراداي
ماركوس فيبسانيوس أغريبا
مارتن فان بيورين
مارجريت تاتشر
ماري ويلستونكرافت
ماكس بلانك
مادهوري ديكسيت
ماريا غايتانا أنيزي
مارلون براندو
مونيكا لوينسكي
ماريو بوتا
ماركوس أنطونيوس
مارسيليو فيسينو
محمد بن عبد الوهاب
مراد الأول
محمد الأول العثماني
مراد الثاني
مراد الثالث
محمد الثالث العثماني
مصطفى الأول
مراد الرابع
مايك أولدفيلد
موريهيه أويشيبا
مارتن لوثر كنج
إيشر
ماركوس أوريليوس
مارينا تسفيتايفا
مري روثبورد
ميل بروكس
محمد علي أغا
محمد نجيب الله
ماري كاسات
هاياو ميازاكي
مارتين التوروزي
مايكل شوماخر
ماري كوري
مارتشيلو مالبيكي
مايكل جـوردن
موري جيلمان
محمد عطا
ماريا فيودوروفنا (داغمار من الدنمارك)
ماري روبنسون
مورغان فريمان
ماري ستيوارت
ماكرينوس
مارتن فالدسميلر
مايكل عطية
ماري الثانية ملكة إنجلترا
ماري الأولى ملكة إنجلترا
مونتيزوما
مايكل كريتشتون
مناحم بيجن
مريم المجدلية
مالكوم إكس
مارغريت ميتشل
محمد ظاهر شاه
مالكوم الثالث
ميخائيل غورباتشوف
مارسيل بروست
ميكيلانجيلو
نيكولاس كيج
نانسي ريغان
نيلس بور
نيل آرمسترونغ
جحا
نيكولو مكيافيلي
نيفيل تشامبرلين
نيكولا تسلا
نيكول كيدمان
باغانيني
نعوم تشومسكي
نيلس هنريك أبيل
نوستراداموس
نوح وبستر
نيرون
نورمان فوستر
ناثانيال هاوثورن
ناستازيا كينسكي
نجيب محفوظ
ناعومي كلاين
نيكولاي بوخارين
أورسن ويلز
أوليفر كرومويل
أوتو فون بسمارك
أوول رومر
أسامة بن لادن
عثمان بن أرطغرل
أورخان غازي
عثمان الثاني
أوسفالد شبينغلر
أوسكار وايلد
أودا نوبوناغا
أوريجانوس
أولغا (أميرة)
أوليفر هيفسايد
أفلاطون
بول كوهين (عالم رياضيات)
باتي سميث
فيليب ك. ديك
بينيلوب كروز
باول إرليخ
باميلا أندرسون
فيثاغورس
باتريك رافتر
باولا عبدول
بيري رئيس
بول ألين
بيثياس
بول فاليري
بارمنيدس
بيير تيلار دي شاردان
باخوم
بترارك
بولس الشماس
لينوس
ألكسندر السابع
إسكندر السادس
ألكسندر الثاني (بابا)
البابا ألكسندر الثالث
ألكسندر الأول (بابا)
ليون الثالث
أدريان الأول
يوحنا بولس الثاني
يوحنا الثالث والعشرون
بيوس الثاني عشر
أغابيتس الأول
أدريان الرابع
أدريان الخامس
أدريان السادس
أناستاسيوس الثاني
أناستاسيوس الأول (بابا)
داماسوس الأول
هونريوس الثالث
بومبيوس الكبير
باتريك وايت
مارسلوس الأول
مارسيلوس الثاني
ملتيادس
كلاوديوس بطليموس
بندكت الأول
بندكت الثاني
بندكت الثالث
بنديكتوس الثامن
بندكت الثالث عشر
بندكت الرابع عشر
يوحنا بولس الأول
بولس السادس
بونيفاس الأول
بونيفاس الثاني
بونيفاس الثالث
بونيفاس الرابع
بونيفاس الخامس
بونيفاس السادس
بونيفاتشي الثامن
بونيفاس التاسع
بيتر هاندكه
باولو أوشيلو
بيوس الأول
بيوس الثاني
بيوس الرابع
بيوس الثالث
بيوس الخامس
بروتاغوراس
ديانا أميرة ويلز
كليمنت الثالث
كليمنت السابع
كليمنت الثامن
بولس الطرسوسي
سلستين الأول
سلستين الثاني
سلستين الثالث
سلستين الرابع
سلستين الخامس
بابلو بيكاسو
غريغوري الثامن
البابا غريغوري العاشر
بآفو ليبونن
غريغوري التاسع
كاليستوس الأول
كاليستوس الثاني
كاليستوس الثالث
غريغوري الرابع عشر
غريغوري الخامس عشر
غريغوريوس الثالث عشر
برفيز مشرف
سيرغيوس
سيكتوس الأول
سيكتوس الثاني
سيكتوس الثالث
أوربان الأول
أوربانوس الثاني
أوربان السادس
أوربان السابع
أوربان الثامن
سلفستر الأول
ستيفان الأول
بول بوت
ستيفان الرابع
فيكتور الأول
فكتور الثالث
إينوسنت الأول
فيكتوريا (أميرة)
إنوسنت الثاني
زوسيموس
إنوسنت الرابع
فليكس الأول
إينوسنت الثالث
بول سيزان
بيتر إليتش تشايكوفسكي
بيار كوري
بوليبيوس
بلوتارخ
بيتر سلرز
أوجست رينوار
أنتيروس
سلفستر الثاني
إينوسنت الثامن
إينوسنت التاسع
إينوسنت العاشر
يوليوس الأول
يوليوس الثالث
إيجين الأول
إيجين الثالث (بابا)
بول ديراك
يوليوس الثاني
أوسابيوس
بروكليوس
سيكتوس الرابع
بيليه
بوليكاربوس
بول أوستر
بيير دي كوبرتان
بآفو نورمي
فيليب الثاني ملك فرنسا
بيغي لي
كوينتن تارانتينو
روبرت أنسون هيينلين
روبرت بيرد
رومان بولانسكي
رونالد ريغان
ريتشارد فاغنر
ريتشارد نيكسون
ريدلي سكوت
ريتشارد فاينمان
رينيه ديكارت
روبرتو باجو
روبرت فالكون سكوت
رايموند تشاندلر
رالف نادر
راسل كرو
روبرت إدوارد لي
رومولوس أوغستولوس
روبرت نويس
ريتشارد سمولي
روبرت كيرل
رينغو ستار
ريتشارد دوكينز
أناستاسيوس الأول
روجر باكون
رینهارد هایدریش
رودي جولياني
ريم كولهاس
رينزو بيانو
روبرت فروست
ريموند كرزويل
رحبعام بن سليمان
رينيه ماغريت
رودولف ديزل
رودولف الثاني
روبرت هوارد
روبرت مردوخ
رودلف شتاينر
راجيف غاندي
روبرت فلتون
رينيه لينيك
راي برادبري
روجر بنروز
روال أموندسن
رالف والدو إمرسون
روح الله الموسوي الخميني
ريتشارد الثالث ملك إنجلترا
روديارد كبلينغ
رونالد كوس
ريتشارد إرنست
ريتشارد الأول ملك إنجلترا
راينر ماريا ريلكه
روبرت لويس ستيفنسون
روزا باركس
رومان ياكوبسون
رميكو تاكاهاشي
رولد هوفمان
روريك
ركنر فرش
روبرت موغ
روبرت الأول من إسكتلندا
ستانلي كوبريك
شون كونري
سيغموند فرويد
ستندال
ستانيسواف لم
سيلفيو برلسكوني
ستيفن سبيلبرغ
سبايك لي
ستيفن كينغ
صلاح الدين الأيوبي
سوفوكليس
سليمان القانوني
صمويل مورس
سورين كيركغور
شيريل كرو
ستيفن سودربرغ
سارة ميشيل غيلار
سيما كيان
صمويل بيكيت
وليام كروكس
سيرغي بروكوفييف
سلمى حايك
صافو
شمعون بار كوخبا
صوفي جرمين
صموئيل بيبس
ستيف وزنياك
ستيفن جاي غولد
والتر سكوت
سيرفيوس توليوس
سوزان أنتوني
سيمون المجوسي
سادي كارنو
سليم الثاني
ستيف بيكو
سليمان
شاول الملك
سنحاريب
صموئيل
سيرجي آيزنشتاين
ستيفن باتوري
سيبتيموس سيفيروس
شكا زولو
سام رايمي
سيلفيا بلاث
شنايا توين
سلمان رشدي
شاه جهان
سول بيلو
لورينس تديما
وليم جونز
ستيفن ملك إنجلترا
جرجس
كيرلس وميثوديوس
سيغريد أوندست
سوجورنر تروث
سام
صامويل تايلر كولريدج
ساندرا بولوك
صدام حسين
سونيا هيني
شموئيل يوسف عجنون
ستيفن باناخ
ستيف بالمر
توماس إديسون
توماس هوبز
توماس جفرسون
تيخو براهي
تيم بيرنرز لي
توماس هنري هكسلي
طاليس
توماس مان
ت. س. إليوت
تيودور أدورنو
توت عنخ آمون
تد تيرنر
توماس مور
توماس كرانمر
ثيودور روزفلت
تيبريوس
تراجان
توماس مالوري
ترنتيوس
توماس بين
تاريا هالونن
ثوسيديديس
تيموثاوس
تيد هيوز
توماس وولسي
تومازو ألبينوني
مازاتشو
توماس جاينزبورو
ثيودوسيوس الأول
تويوتومي هيده-يوشي
توكوغاوا إيه-ياسو
ترتليان
ثيودوريك العظيم
توباك شاكور
تابو إيمبيكي
توما
توم كروز
توماس مالتوس
توري أموس
تيم برتون
توماس مورغان
تيموثي مك فاي
يوليسيس جرانت
أومبرتو إكو
أورسولا لي جوين
أورهو ككونن
ورغيليوس
فولتير
فيتوريو دي سيكا
فينت سيرف
فلاديمير نابوكوف
فانجيليس
فلاديمير أرنولد
أندرياس فيزاليوس
فالنس
فيتليوس
فسبازيان
فينسنت فان غوخ
فينشينسو بيليني
فيلفريدو باريتو
فيرجينيا وولـف
فيفيان لي
فيتروفيو
فرسن جتريكس
فلاديمير بوتين
فيسينتي فوكس
ويليام شكسبير
وودي آلن
فيم فيندرز
والت ديزني
وارن هاردن
فيلهلم فون همبولت
فيرنر هايزنبيرغ
ويليام شوكلي
والتر براتين
فرنر هرتزوغ
وورد كانينغهام
فولفغانغ أماديوس موتسارت
ويليام بليك
سومرست موم
ونستون تشرشل
فواديسواف ريمونت
ويستن هيو أودن
ويليام موريس
فيسوافا شيمبورسكا
ويليام هنري هاريسون
لورد كلفن
ويليام مكينلي
ويليام هوارد تافت
وودرو ويلسون
ويليام سارويان
ويليام بوروز
وليام الأوكامي
ويليام بيت الأكبر
ويليام بتلر ييتس
والتر رالي
ويليام فوكنر
واشنطن إيرفينج
فيرنر فون براون
والتر غروبيوس
فاسيلي كاندينسكي
وولي سوينكا
ويليام والاس
والت ويتمان
ويليام بلاي
ويليام الفاتح
وليام الثاني ملك إنجلترا
ويليام ووردزوورث
وليام غلادستون
ويليام هيرشل
فولفغانغ باولي
ولتر غيلبرت
ويتني هيوستن
وينونا رايدر
فيلما رودولف
ويليام ليبسكوم
واكلاو سيربنسكي
ويليام غولدنغ
فيلهلم فونت
فيلهلم أوستفالد
كسينوفون
يوري جاجارين
ياسر عرفات
يوكو أونو
تشنغ خه
زانج هينج
كلوفيس الأول
سفانت أرهنيوس
جورج مارشال
ميلان كونديرا
ماجيك جونسون
غريغوري الأول
متياس
بريكليس
جان هنري دونانت
ألن بروست
جوزيبي مازيني
غريغوري السابع
أودواكر
بيتر ديباي
زينون الرواقي
خريسيبوس
لوكريتيوس
لارس أونساغر
توماس بيكيت
هاريت توبمان
جون نوكس
ميخائيل ملك رومانيا
يون أنتونيسكو
يورن أوتسون
فرديناند الأول ملك رومانيا
دنيس ريتشاردز
بروس لي
بروتس
جوزيه غيبس
لينوس باولنغ
رولان غاروس (طيار فرنسي)
راتغر هاور
ألفريد كينسي
ويليام تيندال
كوندروسيه
إدوارد تيلر
ثور هايردال
أوفيد
ليون الحادي عشر
ليون العاشر
أوغست فيرديناند موبيوس
سيبريان قرطاج
غايتانو دونيزيتي
دومينيكو تشيماروزا
جون مينارد كينز
فرنسوا ميتيران
غريغوريوس أسقف نيصص
جيوفاني باتيستا بيرغوليزي
جيري آدمز
إيجور سترافينسكي
يانغ الأعمى
إميل دوركايم
جان رينو
ماكس بيروتس
جورج بول
فيدل كاسترو
جون كارماك
هيباتيا
أفلوطين
ناتالي بورتمان
مارجريت كونتيسة سنودون
كارل الرابع عشر يوهان
سرجيو ليون
لويس الرابع، الإمبراطور الروماني المقدس
فنتسل
مايكل بلومبيرغ
غيورغي جوكوف
كارل الرابع
يوحنا بن زبدي
مايكل أنجلو أنطونيوني
روبرتو روسيليني
كاري غرانت
روبي ويليامز
مايك تايسون
روبرت أوبنهايمر
روبرت موليكن
ماكسيمليان الأول إمبراطور الرومانية المقدسة
صمويل دو شامبلان
سبيرو أغنيو
مرقس
فيليب ملانكتون
روبرت جريفز
آن بولين
ميخائيل بولغاكوف
جون لوجي بيرد
جوزيف بانكس
جون غلزورثي
بندكت السادس عشر
فريدريك الأول بربروسا
إدوارد الخامس
إيلي دوكميان
نورمان روكويل
جاك شيراك
إريش هونيكر
ويليام روان هاميلتون
زغمونت الثاني أوغست
كارلو الأول ملك نابولي
آلان ريكمان
جينيفر أنيستون
سلفادور دالي
وليم ثاكري
هارولد جودوينسون
جوزيف بريستلي
جورج الرابع ملك المملكة المتحدة
إدوارد المعترف
هارديكانوت
هارولد قدم الأرنب
أولي أينار بيورندالين
جيمس جارفيلد
لوثر الثالث
كونراد الثالث
هوارد فلوري
كانوت العظيم
إين كورتيس
باول فون هيندنبورغ
فلاديمير الأول
ألكسندر هاميلتون
كارل وويس
أوتو الثاني (إمبراطور روماني مقدس)
سفياتوسلاف الأول
ستانيسلو أولام
إنغريد برغمان
فيليكس كلاين
هلموت كول
هلموت شميت
لودفيغ إيرهارت
آل باتشينو
برنارد ريمان
بوني تايلور
أنطوني فان ليفينهوك
أميديو أفوجادرو
جورج الثالث ملك المملكة المتحدة
كارل يونج
فريدي ميركوري
كلارك غيبل
جورج إس. باتون
جون ديلينجر
كرستوفر لامبيرت
كاميرون دياز
